id,title,year,genre,duration
436,Анна Каренина,1997,2,108
437,Анна Кристи,1930,2,88
439,Анна на шее,1954,2,81
440,Анна Павлова,1983,2,155
441,Аннигилятор,1986,8,99
442,Аннигиляторы,1985,11,87
443,Аннушка,1959,2,89
445,Антарктика,1984,11,112
446,Антарктическая повесть,1979,13,209
447,Антарктическое приключение,1990,5,56
448,Антидурь,2007,11,90
449,Антикиллер,2002,11,114
450,Антикиллер 2: Антитеррор,2003,11,126
451,Антикиллер Данила Корецкого,2008,11,169
453,Антитела,2005,4,127
454,Антон Иванович сердится,1941,1,75
455,Антониа,1995,2,104
456,Антоний и Клеопатра,1972,2,106
457,Антониу Дас Мортес,1969,11,99
458,Антоша Рыбкин,1942,1,48
459,Антракт,1924,2,14
460,Антрацит,1971,2,79
461,Антуан и Антуанетта,1947,1,77
462,Аня,1927,13,70
463,Апарахито,1956,2,113
464,Апач,1954,19,91
465,Апачи,1973,19,86
466,Апокалипсис,2006,13,139
467,Апокалипсис,1996,11,281
468,Апокалипсис сегодня,1979,11,153
469,Апокриф: музыка для Петра и Павла,2004,2,140
470,Аполлон 13: Версия IMAX,2002,2,120
471,Апостол,2007,11,600
472,Аппалуза,1966,19,97
473,Апрель,2002,4,120
474,Аптекарша,1997,4,103
475,Аптечный ковбой,1989,2,99
476,Арабеска,1966,4,107
477,Арабские приключения,1999,16,178
478,Арарат,2002,2,115
479,Арбитр,1992,4,84
480,Аргентинка в Нью-Йорке,1998,1,90
481,Арена,1988,8,93
483,Арена,1967,2,97
484,Арена смелых,1953,5,76
485,Арестантская,2008,2,110
486,Аризонская мечта,1993,1,119
487,Аризонский оборотень,1995,6,97
488,Арифметика убийства,1992,11,102
489,Ариэль,1983,1,73
490,Ария,1987,7,99
491,Арктическая тоска,1993,11,91
492,Арлетт,1997,1,95
493,Армавир,1991,2,138
494,Армагеддон,1998,11,144
495,Армагеддон: последний вызов,1995,8,81
496,Армейские  приключения,1994,1,90
497,Армейский пирог,2003,1,90
498,Армикрон в незаконной власти,1996,8,78
499,Армия спасения,2000,1,90
500,Армия трясогузки,1964,11,84
501,Армия трясогузки снова в бою,1968,11,85
502,Армия тьмы,1992,6,83
503,Арн: Рыцарь-тамплиер,2007,11,139
504,Аромат зеленой папайи,1993,3,104
505,Аромат любви Фанфан,1993,2,87
507,Арсен Люпен,2004,11,125
508,Арсенал,1928,2,93
509,Арт деко детектив,1994,11,100
510,Артефакт,2009,1,92
511,Артист и мастер изображения,2000,1,115
512,Артистка,2007,1,202
513,Артистка из Грибова,1988,3,141
514,Артур,1981,1,97
515,Артур 2: на мели,1988,1,111
516,Артур и месть Урдалака,2009,9,274
517,Артур иипуты,2006,9,102
518,Арфа из травы,1996,1,110
519,Арчи возвращается в Ривердэйл,1995,1,84
520,Аршин Мал Алан,1945,1,93
521,Арье,2004,2,151
522,Ас из асов,1982,1,97
523,Асса,1987,4,153
524,Ассорти по-китайски,1993,2,84
525,Ассоциация злоумышленников,1986,1,102
526,Астенический синдром,1990,2,153
527,Астерикс 2: приключение с Астериксом: Астерикс из Галлии,1967,16,66
528,Астерикс 3: Астерикс и Клеопатра,1985,16,92
529,Астерикс и викинги,2006,13,78
530,Астерикс и Обеликс против Цезаря,1999,13,109
531,Астерикс и Обеликс: Миссия &quot;Клеопатра,2002,1,107
532,Астерикс на Олимпийских играх,2008,13,239
533,Астерикс: Астерикс завоевывает Америку,1994,16,80
534,Астероид,1996,11,170
535,Астро Бой,2009,13,289
536,Асфальтовые джунгли,1950,4,112
537,Асы: железный орел III,1992,11,93
538,Атака куриных зомби,2006,1,90
539,Атака легкой кавалерии,1936,15,108
540,Атака легкой кавалерии,1968,15,145
541,Атака пауков,2002,11,99
542,Атакуй заправки!,1999,1,120
543,Аталанте,1934,11,88
544,Ателье моделей,1969,2,90
545,Атлантида,1995,11,106
546,Атлантида,2002,3,97
547,Атлантида: Затерянный мир,2001,11,95
548,Атлантик-сити,1980,4,103
549,Атомный пес,1997,8,83
550,Аттестат зрелости,1954,3,96
552,Аттракцион страха,1996,4,88
553,"Аты-баты, шли солдаты...",1976,15,87
554,Ау! Ограбление поезда,1993,11,153
555,Аудиенция,1971,2,112
556,Аукцион,1983,13,89
557,Афганец,1991,11,100
558,Афганец 2,1994,11,87
559,Афганский излом,1995,15,132
560,Афера,2001,3,90
561,Афера,1973,1,128
562,Афера,2003,4,98
563,Афера II,1983,1,101
564,Афера Стивена Гласса,2003,2,95
565,Афера Томаса Крауна,1968,4,101
566,Афера Томаса Крауна,1999,4,109
567,Аферисты,1990,1,79
568,Аферисты,1998,1,89
569,Аферисты: Дик и Джейн развлекаются,2005,1,90
570,"Аферы, музыка, любовь...",1997,1,104
571,Афоня,1975,1,88
572,Африка: Королевство слонов,1998,5,40
573,Африканец,1982,11,97
574,Африканская королева,1951,13,102
575,Африканское сафари,1978,5,95
576,"Ах, водевиль, водевиль...",1979,1,67
577,Ахиллес и черепаха,2008,1,119
578,Ачи и Сипак: убойный дуэт,2006,9,90
579,Ашанти,1979,11,117
580,Ашик-Кериб,1988,1,77
581,"Аэлита, не приставай к мужчинам",1988,1,89
582,Аэробосс,1997,11,88
583,Аэроград,1935,2,84
584,Аэроплан II: продолжение,1982,1,85
585,Аэроплан!,1980,1,88
586,Аэропорт,1970,2,136
587,Аэропорт 1975,1974,2,106
588,Аэропорт 77,1977,2,113
589,Аэропорт 79: &quot;Конкорд,1979,11,122
590,Аэропорт со служебного входа,1986,2,86
591,Бабетта идет на войну,1959,1,99
592,Бабка Ежка и другие,2006,9,70
593,Бабник,1990,1,69
594,Бабник 2,1992,1,68
596,Бабочка,2002,1,85
597,Бабочка,1981,2,107
598,Бабочки,1991,4,90
599,Бабуся,2004,2,97
